Designator,Mid X,Mid Y,Layer,Rotation
J24,172.425000,-93.790000,top,-90.000000
J25,117.495000,-52.695000,top,180.000000
JP3,177.450000,-92.850000,top,90.000000
JP5,103.000000,-52.900000,top,0.000000
JP7,148.550000,-91.250000,top,180.000000
L1,63.000000,-82.450000,top,-90.000000
Q1,154.175000,-80.225000,top,-90.000000
Q2,74.100000,-81.700000,top,0.000000
Q3,55.500000,-49.725000,top,-90.000000
Q4,137.500000,-79.600000,top,180.000000
Q5,137.400000,-75.700000,top,0.000000
Q6,43.600000,-54.400000,top,180.000000
Q7,45.500000,-49.325000,top,180.000000
Q8,92.950000,-55.445000,top,-90.000000
Q9,92.800000,-49.995000,top,-90.000000
Q10,78.750000,-75.350000,top,180.000000
R1,133.700000,-54.275000,top,0.000000
R2,129.370000,-55.650000,top,180.000000
R3,123.650000,-58.170000,top,0.000000
R4,122.936000,-56.388000,top,180.000000
R5,143.300000,-59.100000,top,0.000000
R6,159.200000,-71.150000,top,180.000000
R7,165.300000,-60.300000,top,180.000000
R8,164.700000,-62.850000,top,0.000000
R9,162.950000,-56.200000,top,90.000000
R10,160.600000,-54.700000,top,0.000000
R11,134.200000,-64.750000,top,180.000000
R12,143.500000,-58.075000,top,0.000000
R13,152.150000,-85.850000,top,0.000000
R14,142.480000,-60.200000,top,180.000000
R15,142.100000,-61.200000,top,0.000000
R16,151.750000,-80.550000,top,90.000000
R17,142.500000,-75.200000,top,90.000000
R18,152.000000,-57.817500,top,90.000000
R19,150.900000,-57.900000,top,-90.000000
R20,152.400000,-76.950000,top,0.000000
R21,139.870000,-60.810000,top,-90.000000
R22,137.100000,-59.400000,top,180.000000
R23,155.500000,-77.400000,top,180.000000
R24,133.000000,-62.200000,top,-90.000000
R25,132.850000,-73.450000,top,180.000000
R26,137.200000,-61.800000,top,0.000000
R27,134.000000,-75.550000,top,-90.000000
R28,180.700000,-54.725000,top,90.000000
R29,114.750000,-60.025000,top,90.000000
R30,136.100000,-60.500000,top,0.000000
R31,155.100000,-84.000000,top,0.000000
R32,58.900000,-48.500000,top,0.000000
R33,135.200000,-67.337500,top,-90.000000
R34,160.450000,-67.100000,top,180.000000
R35,137.900000,-69.287500,top,90.000000
R36,135.500000,-69.600000,top,180.000000
R37,134.300000,-71.400000,top,0.000000
R38,153.200000,-71.450000,top,90.000000
R39,161.950000,-71.550000,top,180.000000
R40,77.800000,-83.800000,top,-90.000000
R42,66.250000,-90.650000,top,0.000000
R43,35.600000,-51.700000,top,180.000000
R44,35.200000,-89.750000,top,90.000000
R45,36.550000,-80.000000,top,0.000000
R46,33.510000,-86.900000,top,-90.000000
